ID,NOMBRE,CEDULA,PISO,HABITACION,PARADA
1,DEIVID NICOLAS CORTES,21351221231,1,120,COLOMBIA
2,CARLOS EDUARDO ANGARITA,575245254,1,132,ECUADOR
3,DIEGO ANDRES REYES SASTOQUE,775721757,1,152,MEXICO
4,EDWIN  ALEJANDRO SANCHEZ,75757257,1,162,ESPAÑA
5,ILBER DARIO  SAZA,75452754,1,123,COLOMBIA
6,FREDDY ALBERTO MOYANO,343124212,2,203,ECUADOR
7,ELIZABETH SAENZ,213213543,2,201,MEXICO
8,JOSE ALEJANDRO ALVAREZ,772724214,2,215,ESPAÑA
9,JUAN GABRIEL VELANDIA,752742754,2,262,COLOMBIA
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,2,231,ECUADOR
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,3,301,MEXICO
12,CRISTINA ISABEL REALES,41213141,3,318,ESPAÑA
13,MARLY THAIANA CUBILLOS,213254135,3,301,COLOMBIA
14,LIDIA SMITH AMADO DUGARTE,2132132132,3,309,ECUADOR
15,YERSON DARIO TORRES ALVAREZ,123135021,1,141,MEXICO
16,CARLOS JOSE ARIAS,1003523221,1,121,ESPAÑA
17,JOSE LUIS SOTO,1035413551,1,123,COLOMBIA
18,KEVIN YESID MENDEZ,10032120,1,124,ECUADOR
19,CLAUDIA VIVIANA OROZCO,10203121,2,124,MEXICO
20,WILMAR  MARQUEZ TOCANCHON,1032165412,2,125,ESPAÑA
