ID,NOMBRE,CEDULA,PISO,HABITACION,PARADA
1,DEIVID NICOLAS CORTES,21351221231,2,201,COLOMBIA
2,CARLOS EDUARDO ANGARITA,575245254,3,302,COLOMBIA
3,DIEGO ANDRES REYES SASTOQUE,775721757,3,303,COLOMBIA
4,EDWIN  ALEJANDRO SANCHEZ,75757257,2,204,COLOMBIA
5,ILBER DARIO  SAZA,75452754,2,205,MEXICO
6,FREDDY ALBERTO MOYANO,343124212,3,306,MEXICO
7,ELIZABETH SAENZ,213213543,1,107,MEXICO
8,JOSE ALEJANDRO ALVAREZ,772724214,1,108,MEXICO
9,JUAN GABRIEL VELANDIA,752742754,3,309,ECUADOR
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,3,310,ECUADOR
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,3,311,ECUADOR
12,CRISTINA ISABEL REALES,41213141,1,112,ECUADOR
13,MARLY THAIANA CUBILLOS,213254135,1,123,ECUADOR
14,LIDIA SMITH AMADO DUGARTE,2132132132,1,124,ECUADOR
15,YERSON DARIO TORRES ALVAREZ,123135021,1,125,ESPAÑA
16,CARLOS JOSE ARIAS,1003523221,2,216,ESPAÑA
17,JOSE LUIS SOTO,1035413551,2,252,ESPAÑA
18,KEVIN YESID MENDEZ,10032120,2,291,ESPAÑA
19,CLAUDIA VIVIANA OROZCO,10203121,3,320,ESPAÑA
20,WILMAR  MARQUEZ TOCANCHON,1032165412,3,362,ESPAÑA
