ID,NOMBRE,CEDULA,PISO,HABITACION,PARADA
1,DEIVID NICOLAS CORTES,21351221231,3,301,MEXICO
2,CARLOS EDUARDO ANGARITA,575245254,3,302,MEXICO
3,DIEGO ANDRES REYES SASTOQUE,775721757,1,101,MEXICO
4,EDWIN  ALEJANDRO SANCHEZ,75757257,1,102,ESPAÑA
5,ILBER DARIO  SAZA,75452754,3,301,ESPAÑA
6,FREDDY ALBERTO MOYANO,343124212,2,203,ESPAÑA
7,ELIZABETH SAENZ,213213543,2,204,COLOMBIA
8,JOSE ALEJANDRO ALVAREZ,772724214,3,305,COLOMBIA
9,JUAN GABRIEL VELANDIA,752742754,3,306,COLOMBIA
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,2,207,COLOMBIA
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,1,108,ECUADOR
12,CRISTINA ISABEL REALES,41213141,1,109,ECUADOR
13,MARLY THAIANA CUBILLOS,213254135,2,210,ECUADOR
14,LIDIA SMITH AMADO DUGARTE,2132132132,2,211,ECUADOR
15,YERSON DARIO TORRES ALVAREZ,123135021,3,313,ESPAÑA
16,CARLOS JOSE ARIAS,1003523221,3,314,COLOMBIA
17,JOSE LUIS SOTO,1035413551,2,215,ECUADOR
18,KEVIN YESID MENDEZ,10032120,2,216,COLOMBIA
19,CLAUDIA VIVIANA OROZCO,10203121,3,317,COLOMBIA
20,WILMAR  MARQUEZ TOCANCHON,1032165412,3,318,ECUADOR
