ID,NOMBRE,CEDULA,PISO,HABITACION,PARADA
1,DEIVID NICOLAS CORTES,21351221231,2,201,COLOMBIA
2,CARLOS EDUARDO ANGARITA,575245254,2,202,COLOMBIA
3,DIEGO ANDRES REYES SASTOQUE,775721757,1,101,COLOMBIA
4,EDWIN  ALEJANDRO SANCHEZ,75757257,2,203,COLOMBIA
5,ILBER DARIO  SAZA,75452754,2,204,COLOMBIA
6,FREDDY ALBERTO MOYANO,343124212,3,301,ECUADOR
7,ELIZABETH SAENZ,213213543,3,302,ECUADOR
8,JOSE ALEJANDRO ALVAREZ,772724214,1,102,ECUADOR
9,JUAN GABRIEL VELANDIA,752742754,3,303,ECUADOR
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,3,304,ECUADOR
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,2,201,ECUADOR
12,CRISTINA ISABEL REALES,41213141,3,311,ESPAÑA
13,MARLY THAIANA CUBILLOS,213254135,2,220,ESPAÑA
14,LIDIA SMITH AMADO DUGARTE,2132132132,2,220,ESPAÑA
15,YERSON DARIO TORRES ALVAREZ,123135021,1,110,ESPAÑA
16,CARLOS JOSE ARIAS,1003523221,3,330,MEXICO
17,JOSE LUIS SOTO,1035413551,3,331,MEXICO
18,KEVIN YESID MENDEZ,10032120,2,221,MEXICO
19,CLAUDIA VIVIANA OROZCO,10203121,2,223,MEXICO
20,WILMAR  MARQUEZ TOCANCHON,1032165412,1,115,MEXICO
